gene_id	gene_name	DRX001077	DRX001078	DRX003214	DRX331013	SRX1096724	SRX12476603	SRX477984	SRX477985	SRX477988	SRX707440	UV_Tom
OoffiChr01g03476	OoffiChr01g03476	22.305028	20.446553	33.972984	57.578158	48.165325	85.72806	51.539501	46.347782	99.243293	37.973734	55.562972
OoffiChr01g03477	OoffiChr01g03477	0.347629	1.019321	0.256879	6.693678	6.652314	1.717848	3.220706	1.438182	69.036243	9.932457	2.481953
OoffiChr01g03478	OoffiChr01g03478	26.107565	176.931299	11.583128	0	12.273044	0	0.174657	4.794556	3.207762	1.217602	0
OoffiChr01g03479	OoffiChr01g03479	15.176096	21.925193	28.307533	20.95455	32.328996	36.100804	30.434167	40.296065	36.020155	17.415861	35.808146
OoffiChr01g03480	OoffiChr01g03480	1.247832	0.90715	0.452501	0	8.24224	0	0	0	4.133977	0	0
OoffiChr01g03481	OoffiChr01g03481	0.153936	0.150835	0	0	0.108642	0	0	0	0.619152	0.880774	0
OoffiChr01g03482	OoffiChr01g03482	31.105834	57.968129	39.579079	0.034532	12.849647	1.918929	0.592554	20.900592	4.152233	0.409689	0.739516
OoffiChr01g03483	OoffiChr01g03483	80.072628	25.03564	17.891801	3.092158	42.919154	2.064866	3.143676	29.763141	20.070505	5.590851	1.412991
OoffiChr01g03484	OoffiChr01g03484	0.249194	0.488239	1.534876	0	0.41716	0.156832	0.016111	0.023962	2.888842	0	0
OoffiChr01g03485	OoffiChr01g03485	0.375699	0.381488	0.421556	0	0.217074	0.06513	0.006703	5.398054	5.133325	0.162311	0.176051
OoffiChr01g03486	OoffiChr01g03486	0.904755	1.106049	6.644723	0.060066	28.047124	27.07515	0.263146	7.73749	7.041015	2.209121	0.942924
OoffiChr01g03487	OoffiChr01g03487	7.06007	7.67035	27.529128	9.611433	41.490491	91.597727	11.910415	16.527331	39.490322	8.300732	29.625774
OoffiChr01g03488	OoffiChr01g03488	11.419355	11.577331	13.086297	24.529866	12.648142	9.913986	4.798756	6.293734	15.09227	8.344514	53.37091
OoffiChr01g03489	OoffiChr01g03489	23.497943	72.623648	102.578831	3.838059	101.128407	15.176125	8.622936	54.954783	21.776636	7.432846	5.611074
OoffiChr01g03490	OoffiChr01g03490	11.706054	28.013649	37.1794	13.74165	17.583926	3.114098	10.828587	53.681035	14.717475	4.062071	2.698417
OoffiChr01g03491	OoffiChr01g03491	11.667554	13.183889	12.249071	10.68043	10.594837	8.455091	7.816694	21.982309	12.742653	5.658425	15.880607
OoffiChr01g03492	OoffiChr01g03492	69.286091	88.572895	47.646255	11.080337	19.207832	27.031371	7.860613	30.101887	42.92675	12.099079	33.535487
OoffiChr01g03493	OoffiChr01g03493	7.926397	11.189454	3.974093	3.48807	7.130705	14.556057	18.130718	23.101632	15.450071	9.514525	4.896861
OoffiChr01g03494	OoffiChr01g03494	56.613616	28.484137	2.026777	53.782854	8.327274	8.84045	5.480779	3.467222	6.599135	5.903725	33.385576
OoffiChr01g03495	OoffiChr01g03495	0.564553	2.431936	10.389575	2.481598	1.77569	0.281318	3.076947	22.349216	3.180075	3.84743	0
OoffiChr01g03496	OoffiChr01g03496	2.137388	8.421906	22.92029	31.560071	18.571873	12.80299	29.235032	6.260063	17.275239	37.845654	6.466766
OoffiChr01g03497	OoffiChr01g03497	0.323645	0.88496	0.663616	6.943839	6.594401	4.117932	0.687144	4.434895	19.697531	5.391178	32.28286
OoffiChr01g03498	OoffiChr01g03498	1.42452	1.463393	10.05491	19.337147	11.471518	1.240441	3.189476	11.213055	44.945415	7.20917	0
OoffiChr01g03499	OoffiChr01g03499	20.740008	23.174309	111.117548	62.057273	213.792652	79.609154	5.733119	10.964942	173.818331	7.790223	206.307656
OoffiChr01g03500	OoffiChr01g03500	0.498033	0.699171	0.117493	0	3.329329	0.438422	0	0	2.021599	0	0
OoffiChr01g03501	OoffiChr01g03501	15.52555	0.956779	4.443379	87.862948	24.905587	11.777458	13.803903	0.744178	26.669097	19.786037	98.95789
OoffiChr01g03502	OoffiChr01g03502	1.220411	0.409141	0.87509	24.993127	1.566903	2.775163	0.200556	0.048812	3.605058	2.683512	34.353641
OoffiChr01g03503	OoffiChr01g03503	14.052804	10.491011	26.191231	14.335973	27.026803	34.236672	11.408043	8.309263	34.007985	14.637266	37.838437
OoffiChr01g03504	OoffiChr01g03504	7.725458	15.258038	16.658612	5.738328	3.334386	4.768075	6.340963	9.932125	8.909704	8.85381	6.927199
OoffiChr01g03505	OoffiChr01g03505	0.553048	0.519379	0.042205	0	0	0.171093	0	0.051059	2.874915	0	0
OoffiChr01g03506	OoffiChr01g03506	48.971233	19.813869	89.938873	2.200299	89.484754	41.584454	3.906756	19.309694	39.621385	7.715096	22.381886
OoffiChr01g03507	OoffiChr01g03507	43.581631	55.819876	0.544866	1.407916	0.379553	0.923625	0.831497	0.272447	5.285756	15.012911	0
